,rtime,lkas,ldws,distance,speed,latitude,longtitude
161,2020-11-07 13:43:38,1,1,19.18,78,37.27179497,127.1035787
162,2020-11-07 13:43:39,1,1,21.1,79,37.27152195,127.10361280000001
163,2020-11-07 13:43:40,1,1,21.82,80,37.27131853,127.10361470000001
164,2020-11-07 13:43:41,1,1,20.42,81,37.27111342,127.1036186
165,2020-11-07 13:43:42,1,1,21.33,82,37.27091615,127.1036253
166,2020-11-07 13:43:44,1,1,19.18,83,37.27052387,127.10363740000001
167,2020-11-07 13:43:45,1,1,19.38,83,37.27033145,127.10364320000001
168,2020-11-07 13:43:46,1,1,20.42,83,37.27013088,127.10364640000002
169,2020-11-07 13:43:47,1,1,20.87,83,37.26993425,127.10365149999998
170,2020-11-07 13:43:48,1,1,19.79,84,37.26972774,127.10365060000001
171,2020-11-07 13:43:49,1,1,20.65,84,37.26952588,127.1036527
172,2020-11-07 13:43:50,1,1,20.65,84,37.26932184,127.1036501
173,2020-11-07 13:43:51,1,1,21.1,85,37.26910589,127.10364640000002
174,2020-11-07 13:43:52,1,1,22.06,85,37.26888776,127.1036443
175,2020-11-07 13:43:53,1,1,20.42,85,37.26867925,127.103641
176,2020-11-07 13:43:54,1,1,20.21,86,37.26846892,127.1036387
177,2020-11-07 13:43:55,1,1,18.99,86,37.26824935,127.1036399
178,2020-11-07 13:43:56,1,1,21.33,86,37.26802672,127.1036449
179,2020-11-07 13:43:57,1,1,20.87,87,37.26781293,127.103647
180,2020-11-07 13:43:58,1,1,20.87,87,37.26760275,127.10365060000001
181,2020-11-07 13:43:59,1,1,20.65,87,37.26739253,127.1036551
182,2020-11-07 13:44:00,1,1,21.33,88,37.26717823,127.1036584
183,2020-11-07 13:44:01,1,1,21.82,88,37.266962899999996,127.1036606
184,2020-11-07 13:44:02,1,1,21.82,88,37.26674045,127.1036635
185,2020-11-07 13:44:03,1,1,21.82,89,37.26651812,127.1036673
186,2020-11-07 13:44:04,1,1,21.33,90,37.26629396,127.1036715
187,2020-11-07 13:44:05,1,1,22.57,90,37.26607185,127.1036764
188,2020-11-07 13:44:06,1,1,21.33,90,37.26584718,127.10368100000001
189,2020-11-07 13:44:07,1,1,22.06,90,37.26562036,127.10368659999999
190,2020-11-07 13:44:08,1,1,21.1,90,37.26539583,127.10369320000001
191,2020-11-07 13:44:09,1,1,22.84,90,37.26517957,127.10369750000001
192,2020-11-07 13:44:10,1,1,22.84,90,37.26495729,127.10369920000001
193,2020-11-07 13:44:11,1,1,23.11,90,37.26473671,127.10370120000002
194,2020-11-07 13:44:12,1,1,23.66,90,37.26451634,127.10370320000001
195,2020-11-07 13:44:13,1,1,22.06,90,37.26429892,127.10370379999999
196,2020-11-07 13:44:14,1,1,23.95,90,37.26408764,127.1037037
197,2020-11-07 13:44:15,1,1,24.85,90,37.2638715,127.1037035
198,2020-11-07 13:44:16,1,1,25.49,90,37.26365729,127.103706
199,2020-11-07 13:44:17,1,1,24.54,90,37.26343868,127.1037085
200,2020-11-07 13:44:18,1,1,25.81,90,37.2632191,127.1037122
201,2020-11-07 13:44:19,1,1,26.85,90,37.26299947,127.10370220000001
202,2020-11-07 13:44:20,1,1,24.85,90,37.26278116,127.103706
203,2020-11-07 13:44:21,1,1,25.81,90,37.26256512,127.10370559999998
204,2020-11-07 13:44:22,1,1,27.21,90,37.26235245,127.10370420000001
205,2020-11-07 13:44:23,1,1,27.21,90,37.26213951,127.10370220000001
206,2020-11-07 13:44:24,1,1,26.85,90,37.2619297,127.10370230000001
207,2020-11-07 13:44:25,1,1,25.16,90,37.261714500000004,127.1037002
208,2020-11-07 13:44:26,1,1,26.15,90,37.26150404,127.1036969
209,2020-11-07 13:44:27,1,1,25.81,90,37.26129561,127.1036939
210,2020-11-07 13:44:28,1,1,28.74,90,37.26108363,127.1036928
211,2020-11-07 13:44:29,1,1,24.54,90,37.26086717,127.10369320000001
212,2020-11-07 13:44:30,1,1,25.16,90,37.2606471,127.1036945
213,2020-11-07 13:44:31,1,1,26.15,90,37.26042269,127.10369320000001
214,2020-11-07 13:44:32,1,1,25.49,90,37.26020049,127.1036919
215,2020-11-07 13:44:33,1,1,22.57,90,37.25997851,127.1036898
216,2020-11-07 13:44:34,1,1,20.21,89,37.25975817,127.1036881
217,2020-11-07 13:44:35,1,1,20.87,87,37.25954109,127.1036851
218,2020-11-07 13:44:36,1,1,18.99,86,37.25933044,127.1036791
219,2020-11-07 13:44:37,1,1,17.06,82,37.25912752,127.10367679999999
220,2020-11-07 13:44:38,1,1,15.86,79,37.25892457,127.1036767
221,2020-11-07 13:44:39,1,1,16.75,74,37.25873769,127.10367600000001
222,2020-11-07 13:44:40,1,1,16.75,72,37.25856224,127.10367520000001
