date,time,distance
2020-11-07,13:41:38,7.49
2020-11-07,13:41:38,7.28
2020-11-07,13:41:38,6.96
2020-11-07,13:41:38,6.88
2020-11-07,13:41:38,6.73
2020-11-07,13:41:38,6.73
2020-11-07,13:41:39,6.59
2020-11-07,13:41:39,6.52
2020-11-07,13:41:39,6.48
2020-11-07,13:41:39,6.42
2020-11-07,13:41:39,6.31
2020-11-07,13:41:39,6.28
2020-11-07,13:41:39,6.15
2020-11-07,13:41:39,6.18
2020-11-07,13:41:39,6.12
2020-11-07,13:41:39,6.05
2020-11-07,13:41:40,6.02
2020-11-07,13:41:40,5.93
2020-11-07,13:41:40,5.99
2020-11-07,13:41:40,5.96
2020-11-07,13:41:40,5.99
2020-11-07,13:41:40,6.09
2020-11-07,13:41:40,5.99
2020-11-07,13:41:40,6.09
2020-11-07,13:41:40,6.09
2020-11-07,13:41:40,6.18
2020-11-07,13:41:41,6.12
2020-11-07,13:41:41,6.28
2020-11-07,13:41:41,6.25
2020-11-07,13:41:41,6.38
2020-11-07,13:41:41,6.42
2020-11-07,13:41:41,6.42
2020-11-07,13:41:41,6.35
2020-11-07,13:41:41,6.35
2020-11-07,13:41:41,6.35
2020-11-07,13:41:41,6.45
2020-11-07,13:41:41,6.45
2020-11-07,13:41:42,6.45
2020-11-07,13:41:42,6.59
2020-11-07,13:41:42,6.55
2020-11-07,13:41:42,6.59
2020-11-07,13:41:42,6.66
2020-11-07,13:41:42,6.81
2020-11-07,13:41:42,6.77
2020-11-07,13:41:42,6.73
2020-11-07,13:41:42,6.81
2020-11-07,13:41:43,6.85
2020-11-07,13:41:43,6.88
2020-11-07,13:41:43,6.88
2020-11-07,13:41:43,6.96
2020-11-07,13:41:43,6.88
2020-11-07,13:41:43,6.85
2020-11-07,13:41:43,6.85
2020-11-07,13:41:43,6.81
2020-11-07,13:41:43,6.77
2020-11-07,13:41:43,7
2020-11-07,13:41:44,7
2020-11-07,13:41:44,6.96
2020-11-07,13:41:44,7
2020-11-07,13:41:44,7.08
2020-11-07,13:41:44,7.16
2020-11-07,13:41:44,6.96
2020-11-07,13:41:44,6.96
2020-11-07,13:41:44,7.12
2020-11-07,13:41:44,7.08
2020-11-07,13:41:44,7.12
2020-11-07,13:41:45,7.16
2020-11-07,13:41:45,7.08
2020-11-07,13:41:45,7.2
2020-11-07,13:41:45,7.32
2020-11-07,13:41:45,7.24
2020-11-07,13:41:45,7.16
2020-11-07,13:41:45,7.2
2020-11-07,13:41:45,7.24
2020-11-07,13:41:45,7.16
2020-11-07,13:41:45,7.2
2020-11-07,13:41:46,7.2
2020-11-07,13:41:46,7.28
2020-11-07,13:41:46,7.2
2020-11-07,13:41:46,7.12
2020-11-07,13:41:46,7.16
2020-11-07,13:41:46,7.24
2020-11-07,13:41:46,7.24
2020-11-07,13:41:46,7.08
2020-11-07,13:41:46,7.16
2020-11-07,13:41:46,7.16
2020-11-07,13:41:47,7.16
2020-11-07,13:41:47,7.2
2020-11-07,13:41:47,7.32
2020-11-07,13:41:47,7.24
2020-11-07,13:41:47,7.2
2020-11-07,13:41:47,7.16
2020-11-07,13:41:47,7.08
2020-11-07,13:41:47,6.96
2020-11-07,13:41:47,7.08
2020-11-07,13:41:47,7.12
2020-11-07,13:41:48,7.24
2020-11-07,13:41:48,7.24
2020-11-07,13:41:48,7.2
2020-11-07,13:41:48,7.28
2020-11-07,13:41:48,7.04
2020-11-07,13:41:48,7.2
2020-11-07,13:41:48,7.04
2020-11-07,13:41:48,7.12
2020-11-07,13:41:48,7.12
2020-11-07,13:41:48,7.28
2020-11-07,13:41:49,7.2
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:49,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:50,nan
2020-11-07,13:41:51,32.34
2020-11-07,13:41:51,32.85
2020-11-07,13:41:51,32.34
2020-11-07,13:41:51,30.9
2020-11-07,13:41:51,31.85
2020-11-07,13:41:51,31.37
2020-11-07,13:41:51,32.34
2020-11-07,13:41:51,32.85
2020-11-07,13:41:51,31.85
2020-11-07,13:41:51,32.34
2020-11-07,13:41:52,30
2020-11-07,13:41:52,36.24
2020-11-07,13:41:52,33.37
2020-11-07,13:41:52,32.34
2020-11-07,13:41:52,nan
2020-11-07,13:41:52,nan
2020-11-07,13:41:52,nan
2020-11-07,13:41:52,nan
2020-11-07,13:41:52,nan
2020-11-07,13:41:52,38.19
2020-11-07,13:41:53,nan
2020-11-07,13:41:53,37.52
2020-11-07,13:41:53,38.89
2020-11-07,13:41:53,41.12
2020-11-07,13:41:53,11.37
2020-11-07,13:41:53,11.79
2020-11-07,13:41:53,10.9
2020-11-07,13:41:53,11.62
2020-11-07,13:41:53,12.05
2020-11-07,13:41:53,11.62
2020-11-07,13:41:54,11.53
2020-11-07,13:41:54,12.05
